Sentiment,RSI,EMAcross,MACD,WPR,ADX,CCI,CMO,ROC,Price.up
1,7.21765586,-0.015835821,-0.102758894,1,7.137312778,-116.6666667,-50,0,1
-1,7.21765586,-0.010557214,-0.202593002,1,6.85279043,-93.33333333,-50,0,1
-1,7.21765586,-0.007038143,-0.288532633,1,6.570706461,-77.77777778,-50,0,1
0,1.019635525,-0.038025428,-0.376292873,1,6.035593335,-85.27131783,-53.84615385,-0.003952574,0
0,56.74115802,0.007983048,-0.4441231,1,5.66308776,-74.66666667,-53.84615385,-0.003952574,0
0,67.66354544,0.018655365,-0.488630428,1,8.514756127,-67.13450292,-53.84615385,0,0
0,56.89039134,0.005770243,-0.518212694,0.95,10.91850012,-50.52493438,-48.14814815,0.00197824,0
0,56.89039134,0.003846829,-0.535713516,0.916666667,10.68004372,-47.45762712,-90.47619048,0.00197824,0
0,68.26061769,0.009231219,-0.540367193,0.916666667,14.37003745,-45.21963824,-84.61538462,0,0
0,77.25798174,0.012820813,-0.532353706,0.75,13.72078479,37.33333333,-60,0.003944778,0
0,84.04309105,0.015213875,-0.512468421,0,14.24412748,176.2962963,-50,0.005911347,0
0,84.04309105,0.010142583,-0.485015733,0,14.75599969,146.4052288,33.33333333,0.001966569,0
0,84.04309105,0.006761722,-0.453152991,0,15.25541727,207.4074074,50,0.003921574,1
0,94.70551006,0.017841148,-0.412897357,0.166666667,14.14170748,118.9542484,33.33333333,0.001962709,0
0,94.70551006,0.011894099,-0.368553846,0,13.27216057,152.2807018,45.45454545,0.001955035,0
0,37.8299721,-0.005403934,-0.329392265,0,12.60444784,122.5806452,45.45454545,0.003913899,1
0,37.8299721,-0.003602623,-0.294780677,0,11.95664613,101.9607843,45.45454545,0,1
-1,37.8299721,-0.002401748,-0.26416339,0,11.32957533,89.74358974,77.77777778,0,1
0,89.7530154,0.031732168,-0.221419422,0.571428571,15.06330628,-31.11111111,23.07692308,-0.007843177,0
0,59.79122421,0.007821445,-0.179070225,0,15.4663075,154.1666667,50,0.005842276,1
1,23.8953467,-0.034785703,-0.157522725,0.444444444,14.04477819,29.88505747,21.73913043,0.005888143,1
-1,59.95609831,0.016809531,-0.131038738,0.888888889,12.3622782,-104.7619048,3.703703704,-0.015655897,0
0,64.1972164,0.017873021,-0.09943366,0.375,15.81510885,53.63984674,18.75,0.001955035,0
0,75.75327218,0.031915347,-0.05670607,0.375,15.91408354,47.25738397,13.33333333,0.009813621,0
0,94.47567275,0.161276898,0.055990642,0,25.64761583,417.0833333,48,0.040196799,0
-1,95.02451299,0.120851265,0.212150138,0,28.88783908,228.9637953,48,0.040196799,0
-1,96.73006503,0.127234177,0.407770755,0,27.14680712,188.8040712,51.85185185,0.011194147,0
0,97.14891859,0.098156118,0.622373065,0,26.41869354,171.7228464,60.6557377,0.025927378,0
1,97.14891859,0.065437412,0.835644037,0,25.97462789,133.6936937,60,0.016559716,0
0,84.91267437,0.036958275,1.031566328,0,25.53951682,107.816092,60,0.001826485,1
0,71.41939292,0.017972183,1.200700611,0.024390244,24.51123038,87.4617737,57.37704918,-0.001826485,1
0,24.56897964,-0.041351878,1.317424749,0.073170732,22.73669008,69.07894737,52.38095238,-0.005489492,1
0,11.66073794,-0.087567919,1.365327659,0.268292683,19.96887815,28.57142857,43.28358209,-0.018450708,1
-1,56.9239737,0.021621388,1.400273438,0.487804878,21.27639204,-20.45152722,18.84057971,-0.031689511,0
0,67.37251104,0.047747592,1.436852643,0.219512195,21.63296501,30.12121212,36.84210526,0.003717476,0
0,73.21893404,0.051831728,1.477997951,0.083333333,22.26981325,59.80284775,48.71794872,0.031689511,0
0,87.09422228,0.114554485,1.551643556,0,26.0230203,105.1051051,50,0.023832475,0
1,87.09422228,0.076369657,1.637791545,0,25.62653828,156.4787339,54.02298851,0.025363678,0
0,87.09422228,0.050913105,1.723158528,0,25.89878301,178.4511785,43.66197183,0.021506205,0
-1,96.93139532,0.180608736,1.862967349,0,32.1050839,177.9555556,46.66666667,0.015971946,0
-1,96.93139532,0.120405824,2.024235631,0,28.49807304,136.4429276,42.02898551,0.007067167,0
0,96.93139532,0.080270549,2.18504072,0,25.42218074,109.0429043,34.42622951,0,0
1,96.93139532,0.0535137,2.331486728,0,22.77491751,90.48473968,33.33333333,0,0
-1,96.93139532,0.0356758,2.455427487,0,20.4784225,76.8627451,33.33333333,0,0
1,96.93139532,0.023783867,2.552766388,0,18.47247957,67.04980843,35.59322034,0,0
-1,96.93139532,0.015855911,2.622195347,0,16.70978297,59.80888139,40.35087719,0,0
-1,96.93139532,0.010570607,2.664266951,0,15.15265018,54.66279445,63.26530612,0,0
-1,96.93139532,0.007047072,2.680718499,0,13.77069087,50.13262599,100,0,0
