Sentiment,RSI,EMAcross,MACD,WPR,ADX,CCI,CMO,ROC,Price.up
0,6.362864697,-0.004165449,2.106002874,0.333333333,10.65934633,33.33333333,55.55555556,0,0
1,54.26971192,0.000556367,2.006184213,0.25,12.91996215,116.6666667,55.55555556,-0.014598799,0
1,86.1519902,0.010370911,1.977978531,0.25,19.22771832,114.4654088,42.85714286,0.014815086,0
1,89.73149307,0.010247274,2.014253806,0,21.30954817,227.027027,55.55555556,0.028987537,0
0,64.66074402,0.003498183,2.060592687,0,20.23736122,212.1212121,55.55555556,0.043172172,1
0,64.66074402,0.002332122,2.105777044,0.25,19.19715867,116.6666667,33.33333333,0,0
1,64.66074402,0.001554748,2.142805717,0,18.19025593,132.3383085,40,0,0
0,64.66074402,0.001036499,2.167690209,0,17.2177089,107.2072072,40,0.014184635,0
1,26.78073969,-0.002642334,2.155733053,0,15.84888825,90.90909091,40,0,1
0,26.78073969,-0.001761556,2.116384273,0,14.59897934,78.78787879,40,0,1
1,5.40552013,-0.011174371,1.988365587,0.5,12.78872264,-13.33333333,16.66666667,-0.028573372,1
1,5.40552013,-0.007449581,1.806766599,1,11.84006867,-106.6666667,0,-0.057987258,0
1,3.381372174,-0.00829972,1.573606022,1,10.96419385,-106.6666667,0,-0.029413885,1
1,38.13197161,-0.002199814,1.339834679,1,12.93285247,-124.6376812,-23.07692308,-0.015037877,0
1,70.24149286,0.005200124,1.161524617,0.8,16.56469666,-84.05797101,0,0,0
0,70.24149286,0.00346675,1.024651988,0.8,14.9836643,-77.77777778,-9.090909091,0.015037877,0
0,70.24149286,0.002311166,0.918571832,0.8,13.58707728,-71.59090909,-9.090909091,0,0
1,70.24149286,0.001540778,0.835243753,0.8,12.34765542,-61.53846154,-33.33333333,0,0
1,70.24149286,0.001027185,0.768628607,0.8,11.24315476,-53.63984674,-50,0,0
0,70.24149286,0.00068479,0.714219409,0.8,10.25525554,-47.50499002,-42.85714286,0,0
0,70.24149286,0.000456527,0.668677411,0.8,9.368732584,-42.12962963,-66.66666667,0,0
1,70.24149286,0.000304351,0.629550485,0.8,8.570827999,-37.16814159,-66.66666667,0,0
0,70.24149286,0.000202901,0.595055816,0.8,7.850770644,-31.53153153,-66.66666667,0,0
1,70.24149286,0.000135267,0.56391274,0.666666667,7.199403966,-17.28395062,-66.66666667,0,0
0,70.24149286,9.02E-05,0.535214622,0,6.608894641,35.8974359,-50,0,0
1,70.24149286,6.01E-05,0.508331057,0,6.072502278,35.8974359,0,0,0
1,2.026049442,-0.003293254,0.459656091,0,9.41420788,466.6666667,50,0.029413885,0
1,2.026049442,-0.002195503,0.398803158,0,8.511387408,233.3333333,100,0.029413885,0
0,81.75600191,0.005202998,0.379026939,0,8.1737253,155.5555556,100,0,0
0,81.75600191,0.003468665,0.385089057,0,9.688979056,171.1111111,100,0.014388737,1
0,28.87862451,-0.004354223,0.359851814,0.666666667,9.287401756,20.74074074,20,-0.014598799,0
1,75.81162094,0.010430518,0.407913857,0.333333333,12.62396277,77.77777778,33.33333333,-0.014388737,0
0,83.81967059,0.013620345,0.543714434,0,16.99359084,202.7322404,55.55555556,0.057158414,0
1,42.05259603,-0.004253103,0.634448324,0,15.09329988,193.6507937,60,0.056352937,1
0,42.05259603,-0.002835402,0.690733345,0,13.47103891,156.504065,60,0.013793322,1
1,42.05259603,-0.001890268,0.720901904,0,12.07352745,120.9876543,60,0,1
1,29.60537382,-0.004593512,0.7086611,0.5,10.8602031,10.48689139,23.07692308,-0.041964199,1
0,29.60537382,-0.003062341,0.668847059,0.5,10.30269854,2.898550725,23.07692308,-0.041964199,1
1,9.875224351,-0.012041561,0.543322726,0.833333333,9.433504077,-84.84848485,6.666666667,-0.028987537,1
1,9.875224351,-0.008027707,0.368907041,1,8.647804526,-90.22222222,6.666666667,-0.028987537,1
1,4.938458702,-0.012018472,0.124924068,1,7.935986371,-178.6666667,-25,-0.045120435,1
1,3.591774271,-0.011345648,-0.174805885,1,7.535216676,-191.3978495,-33.33333333,-0.076372979,1
