stock code,stock name,date,title,subhead,para
7233, DUFU TECHNOLOGY CORP BHD ," Tue, 7 May 2019, 6:17 PM ",[转贴] DUFU 周年股东大会 - Stockaholics,,"
		  
		WY,  
	 "
7233, DUFU TECHNOLOGY CORP BHD ," Mon, 29 Apr 2019, 3:55 PM ",M+ Online Technical Focus - 29 April 2019,,"The FBM KLCI managed to recover all its intraday losses as the key index closed above the EMA 20 level to around the 1,638.38 pts last Friday. The MACD Histogram has extended another bar, but the RSI remains below 50. Resistances will be pegged around the 1,650-1,660 levels. Support will be set around the 1,620 level. DUFU has formed a breakout-pullback-continuation pattern above the EMA 9 level with improved volumes. The MACD Indicator has expanded positively above zero, while the RSI is treading below the overbought level. Monitor for a breakout above the RM2.06 level, targeting the RM2.25 and RM2.43 levels. Support will be set around the RM1.95 level. PWROOT has gapped-up to close above the EMA20 level. The MACD Indicator has issued a BUY Signal, while the RSI has risen above 50. Monitor for a breakout above the RM1.35 level, targeting the RM1.45 and RM1.50 levels. Support will be anchored around the RM1.27 level. FIHB has rebounded off the EMA120 level with high volumes. The MACD Histogram has extended another green bar, while the RSI has recovered from the oversold level. Monitor for a breakout above the RM0.43 level, targeting the RM0.465-RM0.50 levels. Support will be pegged around the RM0.39 level. Source:   - 29 Apr 2019"
7233, DUFU TECHNOLOGY CORP BHD ," Mon, 22 Apr 2019, 10:55 AM ","Technical View - Dufu Technology Corp. Bhd (DUFU, 7233)", Bhd (7233),Source:   - 22 Apr 2019
7233, DUFU TECHNOLOGY CORP BHD ," Fri, 3 May 2019, 5:29 PM ",Trading Stocks - Dufu Technology Corporation,,"Dufu Technology may rebound further after it tested the MYR1.83 support in its latest session. Given that the stock has formed a “Hammer” pattern on 2 May, this indicates a potential rebound. A bullish bias may appear above the MYR1.83 level, with an exit set below the MYR1.83 threshold. Towards the upside, the near-term resistance is at MYR2.04. This is followed by the MYR2.20 level. Source:   - 3 May 2019"
7233, DUFU TECHNOLOGY CORP BHD ," Mon, 22 Apr 2019, 9:42 AM ",[转贴] 槟城- 厦门卫视专访Dufu Industries in Penang,,"
	"
7233, DUFU TECHNOLOGY CORP BHD ," Mon, 22 Apr 2019, 9:22 AM ",热门股:杜甫科技上挑RM2.16,,"杜甫科技（DUFU，7233，主板工业股）日线股价趋势，于4月18日显现着一段技术反弹走势，闭市时报2令吉，按日涨16仙或8.70%。短期间该股或会上挑2.01至2.16令吉的阻力关口。 19/4/19行情 闭市：2.00令吉 起落：+16仙 成交量：111,266宗 最高：2.01令吉 最低：1.84令吉 本益比：9.709倍 毛周息率：3.500% 52周最高：4.07令吉 52周最低：94仙 http://www.enanyang.my/news/20190420/热门股杜甫科技上挑rm2-16/"
7233, DUFU TECHNOLOGY CORP BHD ," Mon, 29 Apr 2019, 8:33 AM ","Daily Market Update - 29 Apr 2019 (DUFU, PWROOT)",,"U.S. stockmarkets rebounded as the Dow rose 0.3% as investors cheered on the U.S. 1Q2019 GDP data that rose 3.2% Y.o.Y on last Friday. The immediate resistance is located at 27,000. The FBM KLCI (+0.2%) managed to recover all its intraday losses, supported by selective buying support in the eleventh hour of the trading session. The immediate resistance is located at 1,645. Crude palm oil prices extended its losses to record its worst weekly decline (-3.3% W.o.W) since November 2018 amid the elevated stockpile, coupled with the slump in soybean oil prices. The immediate support is located around RM2,100. Crude oil prices took a beating to close lower for the third straight session after U.S. President Donald Trump pressured OPEC to lower crude oil prices by ramping up production. The immediate resistance is located at US$67. Gold prices advanced for the third straight session after the U.S. Dollar retreated against a basket of currencies. The immediate support is located around $1,250. EU - Eurozone's Business Confidence, 5.00PM EU - Eurozone's Services Sentiment, 5.00PM EU - Eurozone's Consumer Confidence, 5.00PM EU - Eurozone's Economic Sentiment, 5.00PM EU - Eurozone's Industrial Sentiment, 5.00PM Stock Name: (7233) Entry: Buy above RM2.06 Target: RM2.25 (9.2%), RM2.43 (18.0%) Stop: RM1.95 (-5.3%) Shariah: Yes Technical: Breakout-pullback-continuation Stock Name: (7237) Entry: Buy above RM1.35 Target: RM1.46 (8.1%), RM1.50 (11.1%) Stop: RM1.27 (-5.9%) Shariah: Yes Technical: Monitor for breakout Source: Bloomberg, M+ Online   The content published is solely for information and personal use only. It should not be construed to be, any advice, recommendation, offer or invitation to buy or sell any securities, futures contracts or any other instrument. Readers should seek independent advice from their own professional advisers (including legal, tax, financial and accounting) as to the risks and merits before entering into any transaction pursuant to or in reliance on any information here. The content published above shall only be for your sole and personal non-professional use. No guarantee is given on the accuracy or completeness of the information published here. No warranty whatsoever is given and no liability whatsoever is accepted for any loss arising whether directly or indirectly as a result of any person or group of persons acting on such information."
7233, DUFU TECHNOLOGY CORP BHD ," Sat, 20 Apr 2019, 6:03 PM ",[转贴] [Facebook live:浅谈Dufu Technology corp bhd (Dufu)] - James的股票投资James Share Investing,,"
	 
	 
	 
	"
7233, DUFU TECHNOLOGY CORP BHD ," Fri, 19 Apr 2019, 6:11 PM ",Trading Stocks - Dufu Technology Corporation,,"Dufu Technology may rebound further after it tested MYR1.75 support in recent session. As the 21-day SMA line has crossed above the 55-day SMA line lately, this is an indication of a positive sign. A bullish bias may appear above the MYR1.75 level, with an exit set below the MYR1.75 threshold. Towards the upside, the near-term resistance is at MYR1.91. This is followed by the MYR2.07 level. Source:   - 19 Apr 2019"
7233, DUFU TECHNOLOGY CORP BHD ," Sat, 27 Apr 2019, 12:00 PM ",杜甫科技试叩RM2.12/敏源,,美股隔夜行情的回落，加上港股与日股的参差表现，主导着马股的盘整行情，临尾微弹报收。 整体大市持续处于1630点水平线上。 富时隆综指于4月26日以1638.38报收，按日起2.7点或0.17%。交投波幅介于6.60（1632.58-1639.18）点间。 上升股407只，而下跌股464只。 杜甫科技（DUFU，7233，主板科技股）于4月26日闭市时收2.02令吉，按日涨6仙或3.06%。 该股30分钟图表走势，于26日的交投走势突破下降趋势线（B1:B2）。 杜甫科技的30分钟平滑异同移动均线指标（MACD），于4月26日间的交投走势处于一个走势中。 该股处于“0”支撑线上波动，后市交投走势，或会出现一段短线回试下限支持线的支撑（B1:B2）。 杜甫科技的日线图表走势于回试后，或会显现一段反弹走势，或会挑战2.03至2.12令吉阻力关口。 http://www.enanyang.my/news/20190427/杜甫科技试叩rm2-12敏源/
