stock code,stock name,date,title,subhead,para
4235, LION INDUSTRIES CORP BHD ,,,,
4235, LION INDUSTRIES CORP BHD ," Tue, 12 Mar 2019, 10:38 AM ",中越产品征反倾销税‧钢铁股闻风起舞,,"
		（吉隆坡11日讯）政府决定对中国和越南钢铁产品征收反倾销税，在利好消息带动下，钢铁股纷纷闻声走高，其中以销售镀锌钢铁产品的CSC钢铁（CSCSTEL,5094,主板工业产品服务组）涨势最佳，盘中一度急涨7.48%。 
		 
		政府对中越镀锌钢铁产品将征收最高16.13%税务，利好消息成功抬拉钢铁股上涨0.5仙至2仙，特别是CSC钢铁涨势傲视同侪，最高一度上涨6仙至1令吉15仙，最终以1令吉零8仙作收，全天起1仙，成交量达90万8300股。 
		其他钢铁股表现不俗，金狮工业（LIONIND,4235,主板工业产品服务组）和马来西亚钢厂（MASTEEL,5098,主板工业产品服务组）也引来投资者追逐。 
		金狮工业上升0.5仙至56.5仙，成交量高挂1715万4100股，马来西亚钢厂（MASTEEL,5098,主板工业产品服务组）走高2仙至51.5仙，共有1479万零300股易手。 
		至于协德（HIAPTEK,5072,主板工业产品服务组），也起0.5仙至29.5仙，成交量报504万1600股。 
		相较之下，安裕资源（ANNJOO,6556,主板工业产品服务组）独憔悴，闭市收低2仙，挂1令吉58仙，成交量提高到184万6400股。 
		 
		分析员认为，虽然反倾销税是钢铁业的“及时雨”，有助于减轻行业压力，但一些股项早已走高，反映了这项利好，因此钢铁股今日表现不算太过标青。 
		马银行研究表示，根据最新政策，凡从中国及越南进口相关钢铁产品，将被征税至2024年3月7日，为期5年。马银行相信，在该税务下，大马相关产品销售公司料可受惠，因进口钢铁产品平均售价比国内来得低。 
		截至2017年为止，大马51.7%的镀锌钢铁消耗量是来自进口，而2015年进口比率只有39.7%，而CSC钢铁2017的市占率只有26%，对比2015年，市占率为36%。 
		马银行根据内部渠道得知，提高税务虽是利好消息，但该税务的帮助仍有限，因价格仍低于现有售价，因此帮助并不大。因此，该行相信CSC钢铁可受惠，但帮助程度不大。 
		马银行假设，若CSC相关产品可增加1%销售，那么2019至2021年盈利预测可增加9.7至10.6%。该股保持“卖出”评级，目标价为83仙。 
		达证券亦认同马银行观点，认为CSC钢铁仍需面对较高的原料成本及廉价的冷轧铁的竞争，因此与马银行同样维持CSC钢铁的“卖出”评级不变，目标价则是68仙。 
		"
4235, LION INDUSTRIES CORP BHD ," Tue, 8 Jan 2019, 9:46 AM ",PublicInvest Research Headlines - 8 Jan 2019,Economy Markets Market Update," US services sector activity slowed to a five-month low in Dec, but remained above a level consistent with solid economic growth in the 4Q. The Institute for Supply Management said its non-manufacturing activity index fell to 57.6 last month, the lowest reading since July, from 60.7 in Nov. Still the index stayed well above the 50 mark, suggesting expansion of the vast services sector. Analysts polled by Reuters had forecast a reading of 59.0. (Reuters)  The Federal Reserve may only need to raise interest rates once in 2019, Atlanta Fed President Raphael Bostic said, focusing on business executives’ nervousness about the economy and a global slowdown as factors that may hold the US central bank back. “I am at one move for 2019,” Bostic said. Though US economic growth was faster than expected in 2018 and prompted the Fed to raise rates four times, Bostic said his business contacts appear less confident about the coming months, while “clouds” have developed overseas. (Reuters)  US Commerce Secretary Wilbur Ross predicted on Monday that Beijing and Washington could reach a trade deal that “we can live with” as dozens of officials from the world’s two largest economies resumed talks in a bid to end their trade dispute. Ross told CNBC the immediate trade issues would be easiest to tackle while enforcement issues and structural reforms, such as intellectual property rights and market access, would be more challenging to resolve. (CNBC)  British and European officials are discussing the possibility of extending Article 50 amid fears a Brexit deal will not be approved by March 29, The Daily Telegraph reported, citing unidentified sources. The Telegraph cited three unidentified EU sources as saying British officials had been ""putting out feelers"" and ""testing the waters"" on an extension of Article 50, Britain's formal notice to withdraw from the EU. The EU is considering ways to help Prime Minister Theresa May convince the British parliament to back the Brexit treaty she agreed with EU leaders last month but ruled out on Monday any change to the deal. (StarBiz)  Assets worth nearly GBP800bn (USD1trn) are being moved from Britain to new financial hubs in the European Union ahead of Brexit, consultancy EY said. Britain, which is due to leave the bloc in March, has yet to approve a deal to avoid an abrupt severing of ties with the EU. Although the British parliament is due to vote on a proposed settlement next week, it is unclear if it will be approved. ""The closer we get to March 29 without a deal, the more assets will be transferred and headcount hired locally or relocated,"" Omar Ali, UK financial services leader at EY, said. (Reuters)  Growth in Japan’s services sector slowed at the end of 2018 as poor weather and weaker demand growth provided a drag, according to an industry gauge. The Nikkei-Markit services purchasing managers’ index dipped to a three-month low of 51 in Dec, down from 52.3 in Nov and bringing the reading closer to the 50- point level separating expansion from contraction. Companies surveyed reported a modest improvement in demand and a weaker increase in new export orders. Slowing growth in the services sector came in contrast to the improvement seen in the manufacturing sector in Dec. (Financial Times)  Greater concerns over the weak economic landscape has dragged down optimism among corporate and Small and Medium Enterprises (SMEs) to the lowest level since the inception of the RAM Business Confidence Index (RAM BCI) survey two years ago. The latest survey conducted by RAM Holdings and RAM Credit Information SB among 3,500 firms in the country showed that Corporate and SME Indices for the 1Q - 2Q 2019 have dropped to 55.1 and 51.0 from 55.7 and 53.5 in 4Q 2018 -–1Q 2019, respectively. It said although the index value of above 50.0 still denotes positive sentiment, the current downtrend has suggested that businesses have a less upbeat outlook for 2019. (Bernama)  Bank Negara’s international reserves remained unchanged at USD101.4bn as at Dec 31, 2018 compared with two weeks earlier. According to a statement by the central bank, the reserves were sufficient to finance 7.4 months of retained imports and were one time the short-term external debt. The main components of the international reserves were foreign currency reserves (USD95.7bn), International Monetary Fund reserves position (USD900m), Special Drawing Rights (SDRs) (USD1.1bn), gold (USD1.6bn) and other reserve assets (USD2.1bn). The ringgit had strengthened slightly against the US dollar during the two-week period to 4.1426 on Dec 31 from 4.1822 on Dec 14. (StarBiz)  KKB Engineering’s subsidiary OceanMight SB has qualified as one of Petroliam Nasional’s (Petronas) contractors for the provision of engineering, procurement and construction of fixed offshore structure works. (StarBiz) Comments: KKB Engineering Bhd's 60.81%-owned unit OceanMight Sdn Bhd has signed a letter of award (LoA) by Petroliam Nasional Bhd, which will qualify it to bid for contract work involving the provision of engineering, procurement and construction of fixed offshore structure works. We understand that a formal contract shall be executed within three months from acceptance of the said LoA while the contract is said to be effective from Dec 12, 2018 and will continue for a period of six years, unless terminated earlier. No contract value was disclosed. In FY18, the group secured c.RM300m worth of oil and gas-related jobs and was reported to have tender book worth RM350m for a combination of oil and gas, steel pipe supplies and other projects in FY4Q08. It has since announced the award of c.RM47m worth of steel pipes supplies contract back in December 2018. Pending more clarifications, our earnings estimates are kept unchanged for now. All told, we maintain our Neutral call and target price (TP) pegged at c.0.9x to book value, suggesting fair value of RM0.95.  JAKS Resources has failed again in its bid to get the court's permission to appeal against the release of a RM50m bank guarantee to Star Media Group. JAKS, in a separate filing, said its unit is seeking legal advice on the next course of action. (The Edge)  Lion Industries Corp is divesting its entire 50% stake in Singaporebased Angkasa Amsteel Pte Ltd to a South Korean steel manufacturer for SGD26.6m (RM80.9m) to raise funds for its flat steel business venture. The proceeds of the disposal will be used for its expansion into the flat steel business, which will require approximately RM636m. (The Edge)  Gagasan Nadi Cergas announced that it has secured an RM109.99m contract to build two blocks of apartments in Putrajaya. The contract is for a duration of 34 months and is expected to be completed by Nov 2021. (The Edge)  Microlink Solutions has accepted a letter of award from Payments Network Malaysia SB (PayNet) for the supply and implementation of a Real-Time Electronic Transfer of Funds and Securities System (Rentas) platform replacement worth RM27.4m. (The Edge)  Destini’s unit has received a further three-year extension from the Home Affairs Ministry to maintain, repair and overhaul safety and survival equipment for the Royal Malaysian Police's Pasukan Gerakan Udara. Its unit Destini Prima SB received the letter of extension on Jan 4, with the contract's ceiling value kept at RM10m, Destini said. The extension will expire on Nov 29, 2021. (The Edge) The FBM KLCI might open higher today as optimism about the outcome of trade talks between Washington and Beijing helped US stocks start the week on the front foot, with underlying support still coming from Friday’s soothing policy comments from Jay Powell, chairman of the Federal Reserve. Mr Powell’s remarks that the US central bank would be “patient” with regard to further interest rate rises helped calm worries about a possible Fed policy error, and helped put the dollar under pressure, even as Treasury yields moved higher. Oil prices extended their recent run of gains to a sixth session, as the markets focused on Opec production cuts due to come into force this month. The mood was also helped by hopes that an easing of US-China trade tensions could support global growth. Meanwhile, Wall Street appeared unfazed by the latest sign that US economic growth was cooling. The Institute for Supply Management’s headline non-manufacturing index fell to a five month low in December. At the closing bell, the S&P 500 ended 0.7% higher at 2,549, having touched 2,566, for a two-day gain of 4.1%. The Dow Jones Industrial Average rose 0.4% while the Nasdaq Composite climbed 1.2%. Across the Atlantic, Frankfurt’s Xetra Dax ended 0.2% softer, having earlier been down as much as 0.8%. The FTSE 100 in London slipped 0.4% while the region wide Stoxx 600 shed 0.2%. Back home, the FBM KLCI index gained 9.39 points or 0.56% to 1,679.17 points on Monday. Trading volume increased to 2.50bn worth RM1.92bn. Market breadth was positive with 604 gainers as compared to 294 losers. Japanese stocks outperformed in region, with the Topix gaining 2.8% as all its sectors gained ground. Hong Kong’s Hang Seng index rose 0.8% while in China the CSI 300 index of Shanghai and Shenzhen-listed stocks rose 0.6%. Source:   - 8 Jan 2019"
4235, LION INDUSTRIES CORP BHD ," Thu, 11 Apr 2019, 4:46 PM ",Trading Stocks - Lion Industries,," may rise higher after it formed a third consecutive white candle. This candle has sent the stock to its highest close in more than four months, thereby enhancing the positive sentiment. A bullish bias may appear above the MYR0.61 level, with an exit set below the MYR0.56 threshold. Towards the upside, the near-term resistance is at MYR0.70. This is followed by the MYR0.77 level. may rise higher after it formed a third consecutive white candle. This candle has sent the stock to its highest close in more than four months, thereby enhancing the positive sentiment. A bullish bias may appear above the MYR0.61 level, with an exit set below the MYR0.56 threshold. Towards the upside, the near-term resistance is at MYR0.70. This is followed by the MYR0.77 level. Source:   - 11 Apr 2019"
4235, LION INDUSTRIES CORP BHD ," Fri, 19 Oct 2018, 8:39 AM ","Daily technical highlights – (LIONIND, FRONTKN)",LIONIND (Not Rated) FRONTKN (Not Rated),"• LIONIND climbed 2.5 sen to close at RM0.800 yesterday. • Notably, yesterday’s move was supported by high trading volume. However, we find this rather unconvincing given the share’s strong primary downtrend. • Moreover, the 20-day SMA is close to crossing below the 100-day SMA while other momentum indicators had not shown any meaningful signs of a reversal. • Nevertheless, should strong buying momentum follow-through and break above RM0.950 (R1), expect next resistance at RM1.05 (R2). • Conversely, downside support is identified at RM0.750 (S1) and RM0.600 (S2). • FRONTKN gained 2.5 sen (+2.65%) to end at RM0.970 yesterday on stronger-than-average trading volume. • Technically, the share has been enjoying a steady uptrend since end-June, with yesterday’s close resulting in a decisive breakout above its prior RM0.951 resistance level. • Resurgence of buying interest on the stock is also reflected by upward trending on RSI and Stochastic from their respective oversold position. • Should follow-through buying interest carry on over the next few days, the stock could set sights towards RM1.01 (R1) and should this be taken out, next resistance level is identified at RM1.12 (R2). • Meanwhile, support levels are located at RM0.900 (S1) with a break below RM0.850 (S2) is deemed highly negative. Source:   - 19 Oct 2018"
4235, LION INDUSTRIES CORP BHD ," Tue, 9 Apr 2019, 9:04 AM ",Technical Buy: LIONIND (4235),,"LIONIND is recovering from its consolidation phase. Improving RSI and MACD indicators currently signal reasonable entry level, with anticipation of continuous improvement in both momentum and trend in near term. Should resistance level of RM0.610 be broken, it may continue to lift price higher to subsequent resistance level of RM0.635. However, failure to hold on to support level of RM0.550 may indicate weakness in the share price and hence, a cut-loss signal. Source:   - 9 Apr 2019"
4235, LION INDUSTRIES CORP BHD ," Thu, 18 Oct 2018, 5:25 PM ",Evening Market Summary - 18 Oct 2018,,"The FBM KLCI closed in the red on Thursday on renewed concerns of higher U.S. interest rates and depreciating Ringgit. Market breadth was weak with 472 decliners against 338 advancers, while notable underperformers include telco giants like Telekom Malaysia (-6.0 sen), Digi (-4.0 sen) and Axiata (-1.0 sen). : : RM0.05 (-0.5 sen) : RM0.775 (-2.0 sen) : RM0.80 (+2.5 sen) : 2.00 bln (100-day avg vol: 2.40 bln) : RM2.03 bln : ⬆:338 ⬇:472 : RM2,234 (-RM27) : 25,675 pts (-61 pts) Source: Bloomberg, M+ Online The content published is solely for information and personal use only. It should not be construed to be, any advice, recommendation, offer or invitation to buy or sell any securities, futures contracts or any other instrument. Readers should seek independent advice from their own professional advisers (including legal, tax, financial and accounting) as to the risks and merits before entering into any transaction pursuant to or in reliance on any information here. The content published above shall only be for your sole and personal non-professional use. No guarantee is given on the accuracy or completeness of the information published here. No warranty whatsoever is given and no liability whatsoever is accepted for any loss arising whether directly or indirectly as a result of any person or group of persons acting on such information."
4235, LION INDUSTRIES CORP BHD ," Mon, 24 Sep 2018, 9:48 AM ",热门股:金狮工业上挑RM1.12,,"金狮工业（LIONIND，4235，主板工业产品股）的日线股价趋势于9月21日显现着一段技术反弹走势，闭市时报1.02令吉，按日涨10仙或10.87%。短期间该股或会上挑1.03至1.12令吉的阻力关口。 21/9/18行情 闭市：1.02令吉 起落：+10仙 成交量：427,040宗 最高：1.04令吉 最低：92.5仙 本益比：4.022倍 毛周息率：- 52周最高：1.67令吉 52周最低：61.5仙 http://www.enanyang.my/news/20180922/热门股金狮工业上挑rm1-12/"
4235, LION INDUSTRIES CORP BHD ," Wed, 5 Sep 2018, 10:13 AM ",热门股:金狮工业上挑RM1.13,,"金狮工业（LIONIND，4235，主板工业产品股）日线股价趋势，9月4日显现一段技术反弹，闭市报1.01令吉，按日涨12.5仙或14.12%。短期或上挑1.02至1.13令吉阻力关口。 4/9/18行情 闭市：1.01令吉 起落：+12.5仙 成交量：232,984宗 最高：1.02令吉 最低：89仙 本益比：3.983倍 毛周息率：- 52周最高：1.67令吉 52周最低：61.5仙 http://www.enanyang.my/news/20180905/热门股金狮工业上挑rm1-13/"
4235, LION INDUSTRIES CORP BHD ," Tue, 26 Feb 2019, 8:16 AM ",Lion Industries ... Breakout Any Time,,"
	 
	Annjoo rocket up to 1,61 after breakout from 1.48 in two days. Will be heading target 1.85 
	Next, Lion Industries has the similar pattern as Annjoo..will follow...when breakout with immediate target of 75-80c  
	 
	Steel sector among the laggard in KLCI in this run. Sector has the lowest PE fro. 2.5 to 4+. The lowest PE steel stock is Lion Industries with PE of just 2.5"
4235, LION INDUSTRIES CORP BHD ," Sat, 1 Sep 2018, 12:49 PM ",STEEL STOCKS: How NOT TO LOSE MONEY on them,,"
		 
			In the period of 10 years, you can clearly see that Annjoo's share price didn't go anywhere other than oscillating between the range 0.63-4.06. As point 1 rightfully states, cyclicals expand and contract, then expand and contract again. 
						7.05% 
	 
	With all the above, I'm convinced to say that the prime time of steel stocks was over, the easy money has been made in the last cycle, steel stocks are currently into their downtrends. I'm not saying you cannot make money until the next big trend reversal, it's just that: 
	1. When buying cyclical stocks in uptrends, it's easy to make money. 
	2. On the other hand, when buying cyclical stocks in downtrends, it depends on how skilled you are in predicting ephemeral rebounds. I reckon that's not my game. 
	 "
4235, LION INDUSTRIES CORP BHD ," Wed, 29 Aug 2018, 11:45 AM ",How Human Behaviour Affects Investment Decisions - Koon Yew Yin,,"
	The stock market is a constant puzzle. Many people asked me the following questions:   
	 
	As according to the company announcements my wife and I more than 150 million shares. We bought too many shares because it has very good profit when its power plant in Vietnam is completed. We were too greedy. When the price dropped due the claim by Star for late completion of the Star Tower, we need to sell some of our holdings to meet margin call and sole more to raise funds to buy Lion Industries when it was selling 70 sen per share which has very good profit growth prospect. It is not because Jaks is not good. We have too many shares. Unfortunately, this rapid price fall also cause many other shareholders to have margin call and they also have to sell. Forced selling is a vicious cycle. 
	If you have buying power, you should buy because it has fallen below Rm 100 and its latest announcement shows it has good profit.    
	 
	Within a few weeks, we have bought about 30 million Lion Industries shares. When I know that it will announce a reduced profit for the next quarter which will be announced before then end of the month, we sold some shares to raise funds so that we can buy it back at cheaper prices. Currently, it looks like the worst is over and the price is going higher. 
	You must bear in mind, that you are not in the same situation as I am. I have very large capital and I can take risk. But you should not simply follow what I do without thinking carefully.  
	 
	To be able to become a super investor we must be able to control our emotion of fear and greed. 
	Basic emotional responses and mental biases can influence the way we invest. Emotions and mental biases can get in the way of rational decision-making. Behavioural investing suggests reasons why some of our actions might be counterproductive to our goals. 
	Avoid the potential pitfalls we must stick to a long-term plan. Investors tend to make irrational decisions because of the following 3 concepts:  
	 
	With loss aversion, the pain of losses is more powerful than the pleasure of gains. This aversion to loss can contribute to panicked selling when the market drops or to the adoption of an overly conservative investment strategy to avoid short-term market fluctuations. These decisions may result in a portfolio that does not keep track with investment fundamentals. 
	 
	Investors tend to place greater weight on what they have experienced most recently, using it as a guideline for what might happen next. Known as recency bias, this theory may help explain why millennials who came of age soon after the financial crisis have steered clear of stocks as they have started investing—even though they have exceptionally long- time horizons when it comes to making more money. 
	 
	The idea with anchoring is that once you are exposed to an initial fact or figure, you will continue to look back to that information as a reference point. Individuals influenced by anchoring tend to hold on to an investment that has lost value in hopes that the investment will go back up to the original purchase price, rather than focusing on fundamentals. 
	While there is a natural human tendency to react emotionally to market swings, investors are encouraged to stick with a consistent, long-term investment strategy. This strategy can include techniques such as portfolio rebalancing, tactical allocation adjustments, or systematic investing—approaches that take market conditions into account without derailing a long-term plan. 
	 
	 
	 "
4235, LION INDUSTRIES CORP BHD ," Tue, 8 Jan 2019, 9:45 AM ",Mplus Market Pulse - 8 Jan 2019,"Gradual Upsides, But Choppiness To Return The Day Ahead COMPANY BRIEF",Source:   - 8 Jan 2019
4235, LION INDUSTRIES CORP BHD ," Mon, 27 Aug 2018, 7:27 PM ",Why Lion Industries is Making Increasing Profit? Koon Yew Yin,,"
	To answer this question, I will tell you the steel making process for producing   from iron ore and scrap. In the process, a lot of impurities such as nitrogen, silicon, phosphorus, sulphur and excess carbon are removed from the raw iron which are thrown out to the open shy. 
	By adding alloying elements such as manganese, nickel, chromium and vanadium to produce different grades of  . 
	China has been importing raw iron ore from Australia and coal from Indonesia to produce more than 50% of the total production of steel for the whole world. China has been exporting steel for a long time. 
	Under the clean sky policy, China has stopped importing iron ore and coal producing to produce steel. Instead, China imports hot iron briquetted iron (HBI). HBI is selling like hot cakes. Besides China, India is also importing a lot of HBI. 
	 
	The price of HBI has increased due to the increased price of scrapped iron. 
	Lion Industries has been showing increasing profit in the last 7 quarters. 
	In the past 2015 and 2016, the profit for all steel manufacturers was badly affected due to China’s dumping of steel. 
	Masteel reported that the Malaysian Government imposed anti-dumping tax for rebar 13.42% for the year ending April 13, 2018, followed by 12.27% and 11.1 % in the next two years respectively as well as additional 5% import duty to protect our local steel industry.    
	 
	 
	 "
