stock code,stock name,date,title,subhead,para
5218, SAPURA ENERGY BHD ," Mon, 20 May 2019, 12:08 AM ",Sapura Energy Berhad (KLSE) #RTable - YAPSS,,"
	Sapura Energy Berhad (KLSE) #RTable"
5218, SAPURA ENERGY BHD ," Fri, 19 Apr 2019, 5:52 PM ",Evening Market Summary - 19 Apr 2019,,"The FBM KLCI eked out gains on Friday, boosted by bargain-hunting activities in selected heavyweights. Market breadth also turned positive as winners overturned the losers on a ratio of 514-to-275 stocks. Notable advancers, meanwhile, include DWL Resources (+21.0 sen), Dufu (+16.0 sen) and Success Transformer (+13.0 sen). : : RM1.02 (+16.0 sen) : RM0.67 (+8.0 sen) : RM0.31 (-0.5 sen) : 2.52 bln (100-day avg vol: 2.54 bln) : RM1.69 bln : ⬆:514 ⬇:275 : RM2,185 (+RM2) : 26,566 pts (+138 pts) Source: Bloomberg, M+ Online The content published is solely for information and personal use only. It should not be construed to be, any advice, recommendation, offer or invitation to buy or sell any securities, futures contracts or any other instrument. Readers should seek independent advice from their own professional advisers (including legal, tax, financial and accounting) as to the risks and merits before entering into any transaction pursuant to or in reliance on any information here. The content published above shall only be for your sole and personal non-professional use. No guarantee is given on the accuracy or completeness of the information published here. No warranty whatsoever is given and no liability whatsoever is accepted for any loss arising whether directly or indirectly as a result of any person or group of persons acting on such information."
5218, SAPURA ENERGY BHD ," Wed, 17 Apr 2019, 1:41 PM ",沙布拉能源 短期盈利续疲软,,"
		 目标价：0.34令吉 
		最新进展： 
		沙布拉能源（SAPNRG，5218 ，主板能源股）获颁5张合约，总计高达约12亿7900万令吉，主要都是钻探及工程与建筑（E&C）相关合约。 
		截至今年3月底，该公司获得的合约总值约为185亿令吉；去年同期则为172亿令吉。 
		这些合约都将在本财年开始贡献公司盈利。 
		行家建议： 
		上述获颁的合约价值，仍符合我们的预期，因此目前维持2020及2021财年的盈利预测。 
		钻探业务仍未收支平衡，加上工程与建筑业务赚幅目前正遭遇萎缩，且随着近来脱售上游业务50%持股，勘探与生产（E&P）业务贡献显著减少。 
		因此，我们对沙布拉能源盈利前景仍保持警惕，相信短期内将持续疲软。 
		虽然如此，该公司获得新订单、减低债务节省利息，加上工程与建筑及钻探业务将逐渐恢复元气，相信2020财年次季（5至7月）开始，营业额将可显著增长。 
		目前维持财测不变，将在钻探业务收支平衡、工程与建筑业务赚幅改善，及营运开销管理改善后，重估该股。 
		 
	http://www.enanyang.my/news/20190416/沙布拉能源-短期盈利续疲软/"
5218, SAPURA ENERGY BHD ," Mon, 29 Apr 2019, 6:40 PM ","Beneficiaries, losers of rallying oil prices",,"
	 
	 
	 
	 
	 
	 
	 
	 
	 
	 
	 
	 US$80 per barrel mark in 2019. 
	 US$1 increase of the commodity. 
	 
	 
	 
	 
	 
	 
	 
	 
	 
	 
	 
	 
	 
	 
	 
	 sole shareholder — which totals RM54 billion in respect to its 2018 fiscal year. 
	However, airlines will incur additional costs as higher crude oil means higher fuel jet prices and will shave a sizeable amount from their profits. Malaysia Airlines Bhd, FlyFirefly Sdn Bhd, MASwings Sdn Bhd, AirAsia Group Bhd, AirAsia X Bhd and Malindo Airways Sdn Bhd will be feeling the pinch from the current oil rally. 
	Listed AirAsia and AirAsia X recognised RM394.97 million and RM99.27 million in losses respectively, for the quarter ended Dec 31 last year on  
	 levels of above US$100 per barrel. 
	 traffic due to higher fares. 
	 
	 
	 
	 expenditure to RM30 billion, coupled with a brighter activity outlook over the next three years, bodes well for local O&G service providers as a whole. 
	 
	 
	 
	 
	 
	 
	 
	 
	 
	 
	 
	  
	"
5218, SAPURA ENERGY BHD ," Tue, 16 Apr 2019, 6:02 PM ",Evening Market Summary - 16 Apr 2019,,"The FBM KLCI succumbed to selling-pressure in selected heavyweights in the second half of the session, closing in the red amid a weakening Ringgit. Market breadth was still negative with 475 decliners against 355 advancers, while 388 stocks flatlined. Notable losers, meanwhile, were construction-linked companies like IJM (-5.0 sen), George Kent (-4.0 sen) and Econpile (-1.5 sen). : : RM0.33 (-0.5 sen) : RM0.48 (-5.0 sen) : RM0.585 (+6.5 sen) : 2.49 bln (100-day avg vol: 2.51 bln) : RM1.79 bln : ⬆:355 ⬇:475 : RM2,173 (+RM12) : 26,489 pts (+116 pts) Source: Bloomberg, M+ Online The content published is solely for information and personal use only. It should not be construed to be, any advice, recommendation, offer or invitation to buy or sell any securities, futures contracts or any other instrument. Readers should seek independent advice from their own professional advisers (including legal, tax, financial and accounting) as to the risks and merits before entering into any transaction pursuant to or in reliance on any information here. The content published above shall only be for your sole and personal non-professional use. No guarantee is given on the accuracy or completeness of the information published here. No warranty whatsoever is given and no liability whatsoever is accepted for any loss arising whether directly or indirectly as a result of any person or group of persons acting on such information."
5218, SAPURA ENERGY BHD ," Mon, 15 Apr 2019, 5:35 PM ",Sapura Energy - First Batch of FY20 Contracts Secured,"Secured 2 Drilling Contracts …and 3 E&C Contracts From Gulf of Suez, Indonesia and Australia Positive Contract News; Awaiting Earnings to Materialize Maintain HOLD","Sapura Energy (SAPE) announced that it has secured a total of 5 contracts worth an aggregrate value of RM1.3bn, comprising of two drilling contracts from Malaysia, and three international Engineering and Construction (E&C) contracts. However, this falls within our order book replenishment and rig utilisation assumptions. Maintain  with an unchanged SOTP-based   of  . SAPE”s drilling division has been awarded two contracts which will see the deployment of Sapura Berani semi tender rig for nine of Petronas Carigali’s wells at Sumandak, Erb West and Dulang facilities, targeted for completion by 4Q19, and Sapura T-9 rig to Exxonmobil E&P Malaysia for a 3-year period commencing 3QFY20 Separately, 3 E&C contracts were secured – i) installation of six subsea pipelines (57km) at the Gulf of Suez for Gulf of Suez Petroleum Company for 10 months and will be completed by 2QFY20. ii) EPCI of two 16” offshore rigid pipelines, in-line tee, and deep water pipeline end terminations expected to be completed by FY20, and iii) design and fabricate a remotely operated vehicle (ROV) for the Royal Australian Navy. We make no changes to our earnings forecast as all these fall under our construction order book plenishment and FY20 drilling utilization assumptions of 54%. Inclusive these batch of contracts, we estimate SAPE’s order book to be c. RM18.5bn. We reaffirm our HOLD rating and unchanged SOTP-based 12-month target price of RM0.35 as near term catalyst looks muted with earnings improvement only expected towards 2HFY20. Key upside and downside risks include: i) higher-than expected contract wins, ii) better rig utilization rates, and iii) further strengthening in global oil prices. Key downside risks include: i) a decrease in global oil prices, ii) delay in existing work orders, and iii) weaker drilling rigs utilization. Source:   - 15 Apr 2019"
5218, SAPURA ENERGY BHD ," Thu, 18 Apr 2019, 5:20 PM ",Evening Market Summary - 18 Apr 2019,,"The FBM KLCI recovered some of its earlier losses, albeit still finishing in the red at the closing bell, following a stronger Greenback. Market breadth was negative as 451 decliners overweigh 397 advancers, while 393 stocks flatlined. In contrast, stocks that bucked the general downtrend include Pentamaster (+12.0 sen), Globetronics (+7.0 sen) and Inari (+6.0 sen). : : RM0.315 (-1.0 sen) : RM0.06 (-0.5 sen) : RM0.18 (+1.0 sen) : 2.89 bln (100-day avg vol: 2.53 bln) : RM2.17 bln : ⬆:397 ⬇:451 : RM2,174 (-RM31) : 26,358 pts (-70 pts) Source: Bloomberg, M+ Online The content published is solely for information and personal use only. It should not be construed to be, any advice, recommendation, offer or invitation to buy or sell any securities, futures contracts or any other instrument. Readers should seek independent advice from their own professional advisers (including legal, tax, financial and accounting) as to the risks and merits before entering into any transaction pursuant to or in reliance on any information here. The content published above shall only be for your sole and personal non-professional use. No guarantee is given on the accuracy or completeness of the information published here. No warranty whatsoever is given and no liability whatsoever is accepted for any loss arising whether directly or indirectly as a result of any person or group of persons acting on such information."
5218, SAPURA ENERGY BHD ," Mon, 15 Apr 2019, 5:30 PM ",Evening Market Summary - 15 Apr 2019,,"The FBM KLCI closed higher on Monday, albeit coming off its intra-day high amid weaker crude oil prices. Market breadth remained negative as losers outrun winners on a ratio of 595-to-311 stocks, while energy-related stocks like Dayang (-12.0 sen), Carimin Petroleum (-6.0 sen) and Uzma (-3.5 sen) underperformed. : : RM0.335 (-1.0 sen) : RM0.04 (+1.0 sen) : RM0.53 (-7.0 sen) : 3.13 bln (100-day avg vol: 2.50 bln) : RM1.75 bln : ⬆:311 ⬇:595 : RM2,147 (-RM15) : 26,432 pts (+24 pts) Source: Bloomberg, M+ Online The content published is solely for information and personal use only. It should not be construed to be, any advice, recommendation, offer or invitation to buy or sell any securities, futures contracts or any other instrument. Readers should seek independent advice from their own professional advisers (including legal, tax, financial and accounting) as to the risks and merits before entering into any transaction pursuant to or in reliance on any information here. The content published above shall only be for your sole and personal non-professional use. No guarantee is given on the accuracy or completeness of the information published here. No warranty whatsoever is given and no liability whatsoever is accepted for any loss arising whether directly or indirectly as a result of any person or group of persons acting on such information."
5218, SAPURA ENERGY BHD ," Wed, 17 Apr 2019, 5:25 PM ",Evening Market Summary - 17 Apr 2019,,"The FBM KLCI maintained its downward trajectory amid fears of significant foreign outflows if Malaysia is dropped from the FTSE Russell global bond index. Market breadth was bearish as losers more than tripled the winners, while notable decliners include Maybank (-21.0 sen), Iskandar Waterfront City (-10.0 sen) and Ann Joo Resources (-9.0 sen). : : RM0.325 (-0.5 sen) : RM0.065 (-1.0 sen) : RM0.01 (unch) : 3.10 bln (100-day avg vol: 2.52 bln) : RM1.85 bln : ⬆:208 ⬇:661 : RM2,216 (+RM43) : 26,469 pts (+22 pts) Source: Bloomberg, M+ Online The content published is solely for information and personal use only. It should not be construed to be, any advice, recommendation, offer or invitation to buy or sell any securities, futures contracts or any other instrument. Readers should seek independent advice from their own professional advisers (including legal, tax, financial and accounting) as to the risks and merits before entering into any transaction pursuant to or in reliance on any information here. The content published above shall only be for your sole and personal non-professional use. No guarantee is given on the accuracy or completeness of the information published here. No warranty whatsoever is given and no liability whatsoever is accepted for any loss arising whether directly or indirectly as a result of any person or group of persons acting on such information."
5218, SAPURA ENERGY BHD ," Mon, 15 Apr 2019, 2:53 PM ",Sapura Energy  Berhad - Various Firsts,,"Sapura Energy (SapE) reported that it has secured five new contracts with a combined value of RM1.3bn, including its first contract for the Royal Australian Navy and its maiden foray into Egypt. The Group also secured two contracts for its drilling segment. These contracts are undoubtedly positive as they ensure earnings visibility for the next three years and help to improve its fabrication yard utilization. This marks the first set of contract wins for FY20, with more expected to come in the ensuing months. Our order book replenishment target is RM7bn. We believe this is achievable given its successful track record in CY18 where a total of RM9.3bn worth of contracts were clinched against our initial order book assumption of RM6bn. Tenderbook remains strong at c. RM45.1bn. These new contracts have pushed its balance in hand to more than RM20bn. We make no adjustment to our earnings estimates, assuming these contracts as part of our orderbook replenishment target for FY19. Our  rating is retained on the back of its improving outlook with an unchanged  of  . Source:   - 15 Apr 2019"
