"Date","Price","Open","High","Low","Vol.","Change %"
"May 17, 2019","5.160","5.150","5.180","5.130","3.39M","0.58%"
"May 16, 2019","5.130","5.140","5.160","5.130","4.66M","0.00%"
"May 15, 2019","5.130","5.180","5.210","5.100","7.88M","-0.58%"
"May 14, 2019","5.160","5.070","5.190","5.040","14.85M","0.78%"
"May 13, 2019","5.120","5.140","5.170","5.070","9.40M","0.00%"
"May 10, 2019","5.120","5.140","5.160","5.110","8.45M","-0.19%"
"May 09, 2019","5.130","5.200","5.200","5.120","11.43M","-1.35%"
"May 08, 2019","5.200","5.180","5.220","5.170","18.91M","0.00%"
"May 07, 2019","5.200","5.210","5.240","5.190","13.70M","0.00%"
"May 06, 2019","5.200","5.210","5.240","5.180","9.07M","-0.76%"
"May 03, 2019","5.240","5.250","5.260","5.220","14.37M","0.19%"
"May 02, 2019","5.230","5.270","5.290","5.210","10.41M","-0.76%"
"Apr 30, 2019","5.270","5.210","5.280","5.200","14.75M","1.35%"
"Apr 29, 2019","5.200","5.190","5.240","5.170","7.58M","0.19%"
"Apr 26, 2019","5.190","5.200","5.240","5.180","6.53M","0.00%"
"Apr 25, 2019","5.190","5.250","5.300","5.170","14.54M","-1.14%"
"Apr 24, 2019","5.250","5.210","5.290","5.210","21.00M","1.55%"
"Apr 23, 2019","5.170","5.180","5.220","5.160","11.82M","0.00%"
"Apr 22, 2019","5.170","5.090","5.200","5.090","14.95M","1.97%"
"Apr 19, 2019","5.070","5.060","5.090","5.050","1.27M","0.40%"
"Apr 18, 2019","5.050","5.010","5.080","5.000","12.98M","0.00%"
"Apr 17, 2019","5.050","5.060","5.070","5.010","6.76M","0.00%"
"Apr 16, 2019","5.050","5.080","5.100","5.050","5.92M","-0.20%"
"Apr 15, 2019","5.060","5.070","5.130","5.060","3.70M","0.00%"
"Apr 12, 2019","5.060","5.070","5.080","5.060","3.51M","0.00%"
"Apr 11, 2019","5.060","5.080","5.120","5.060","7.56M","-0.39%"
"Apr 10, 2019","5.080","5.090","5.100","5.060","3.53M","-0.20%"
"Apr 09, 2019","5.090","5.100","5.110","5.070","12.07M","0.00%"
"Apr 08, 2019","5.090","5.100","5.120","5.080","7.38M","-0.39%"
"Apr 05, 2019","5.110","5.100","5.130","5.100","2.33M","0.20%"
"Apr 04, 2019","5.100","5.120","5.140","5.080","5.89M","-0.39%"
"Apr 03, 2019","5.120","5.120","5.140","5.090","4.85M","0.00%"
"Apr 02, 2019","5.120","5.100","5.130","5.090","7.28M","0.79%"
"Apr 01, 2019","5.080","5.150","5.170","5.080","9.60M","-1.36%"
"Mar 29, 2019","5.150","5.130","5.190","5.110","12.42M","0.78%"
"Mar 28, 2019","5.110","5.070","5.140","5.070","12.36M","0.79%"
"Mar 27, 2019","5.070","5.130","5.150","5.040","17.24M","-0.98%"
"Mar 26, 2019","5.120","5.140","5.200","5.090","15.07M","0.00%"
"Mar 25, 2019","5.120","5.170","5.220","5.100","13.94M","-3.94%"
"Mar 22, 2019","5.330","5.380","5.380","5.310","10.23M","0.00%"
"Mar 21, 2019","5.330","5.400","5.460","5.310","16.82M","-1.11%"
"Mar 20, 2019","5.390","5.470","5.480","5.380","13.27M","-1.46%"
"Mar 19, 2019","5.470","5.490","5.500","5.450","10.35M","-0.18%"
"Mar 18, 2019","5.480","5.490","5.510","5.450","10.36M","0.00%"
