"Date","Price","Open","High","Low","Vol.","Change %"
"May 17, 2019","1.600","1.600","1.620","1.600","1.12M","0.00%"
"May 16, 2019","1.600","1.630","1.640","1.590","614.00K","-1.84%"
"May 15, 2019","1.630","1.610","1.640","1.600","1.48M","2.52%"
"May 14, 2019","1.590","1.590","1.610","1.550","2.03M","-1.24%"
"May 13, 2019","1.610","1.640","1.640","1.600","2.30M","-1.83%"
"May 10, 2019","1.640","1.610","1.660","1.610","3.97M","1.23%"
"May 09, 2019","1.620","1.650","1.650","1.610","3.90M","-2.41%"
"May 08, 2019","1.660","1.610","1.670","1.570","11.31M","-2.35%"
"May 07, 2019","1.700","1.840","1.860","1.660","15.80M","-6.08%"
"May 06, 2019","1.810","1.880","1.880","1.790","3.54M","-4.23%"
"May 03, 2019","1.890","1.880","1.940","1.870","2.44M","0.53%"
"May 02, 2019","1.880","1.900","1.900","1.830","4.29M","-2.08%"
"Apr 30, 2019","1.920","1.960","1.970","1.910","2.98M","-2.54%"
"Apr 29, 2019","1.970","2.030","2.040","1.960","2.31M","-2.48%"
"Apr 26, 2019","2.020","1.960","2.080","1.960","4.78M","3.06%"
"Apr 25, 2019","1.960","1.970","1.980","1.950","2.86M","-0.51%"
"Apr 24, 2019","1.970","2.000","2.020","1.960","3.34M","-1.50%"
"Apr 23, 2019","2.000","2.040","2.040","1.990","4.05M","-1.96%"
"Apr 22, 2019","2.040","2.020","2.060","1.980","6.75M","2.00%"
"Apr 19, 2019","2.000","1.860","2.010","1.840","11.13M","8.70%"
"Apr 18, 2019","1.840","1.810","1.840","1.790","2.25M","2.22%"
"Apr 17, 2019","1.800","1.830","1.860","1.800","2.63M","-1.10%"
"Apr 16, 2019","1.820","1.790","1.820","1.770","2.48M","2.25%"
"Apr 15, 2019","1.780","1.790","1.860","1.780","2.41M","0.00%"
"Apr 12, 2019","1.780","1.770","1.790","1.750","1.08M","1.14%"
"Apr 11, 2019","1.760","1.800","1.800","1.760","1.24M","-2.22%"
"Apr 10, 2019","1.800","1.770","1.840","1.770","3.56M","1.69%"
"Apr 09, 2019","1.770","1.800","1.820","1.750","2.11M","-1.67%"
"Apr 08, 2019","1.800","1.860","1.890","1.780","4.58M","-2.70%"
"Apr 05, 2019","1.850","1.820","1.870","1.810","6.91M","2.78%"
"Apr 04, 2019","1.800","1.690","1.820","1.690","8.27M","6.51%"
"Apr 03, 2019","1.690","1.680","1.720","1.680","1.50M","1.20%"
"Apr 02, 2019","1.670","1.680","1.690","1.660","924.50K","0.00%"
"Apr 01, 2019","1.670","1.700","1.730","1.650","2.69M","-1.18%"
"Mar 29, 2019","1.690","1.630","1.700","1.620","4.52M","5.63%"
"Mar 28, 2019","1.600","1.630","1.630","1.590","1.65M","-2.44%"
"Mar 27, 2019","1.640","1.600","1.650","1.600","2.94M","3.14%"
"Mar 26, 2019","1.590","1.610","1.620","1.580","421.00K","-0.62%"
"Mar 25, 2019","1.600","1.560","1.600","1.550","1.07M","0.63%"
"Mar 22, 2019","1.590","1.580","1.620","1.580","1.20M","1.92%"
"Mar 21, 2019","1.560","1.590","1.590","1.550","941.60K","-1.89%"
"Mar 20, 2019","1.590","1.590","1.600","1.580","368.20K","0.00%"
"Mar 19, 2019","1.590","1.630","1.630","1.580","534.70K","-1.85%"
"Mar 18, 2019","1.620","1.670","1.680","1.620","2.10M","-1.22%"
"Mar 15, 2019","1.640","1.640","1.670","1.620","2.67M","1.23%"
"Mar 14, 2019","1.620","1.550","1.630","1.520","4.26M","4.52%"
"Mar 13, 2019","1.550","1.600","1.600","1.520","2.62M","-2.52%"
"Mar 12, 2019","1.590","1.610","1.610","1.580","1.41M","0.63%"
"Mar 11, 2019","1.580","1.630","1.630","1.580","1.76M","-3.07%"
"Mar 08, 2019","1.630","1.630","1.660","1.620","1.37M","0.00%"
"Mar 07, 2019","1.630","1.660","1.670","1.630","1.33M","-2.40%"
"Mar 06, 2019","1.670","1.640","1.670","1.640","1.87M","2.45%"
"Mar 05, 2019","1.630","1.660","1.660","1.630","2.01M","-2.40%"
"Mar 04, 2019","1.670","1.690","1.700","1.660","1.61M","-0.60%"
"Mar 01, 2019","1.680","1.660","1.700","1.650","3.00M","1.20%"
"Feb 28, 2019","1.660","1.740","1.740","1.640","4.14M","-4.05%"
"Feb 27, 2019","1.730","1.730","1.760","1.700","14.55M","6.13%"
"Feb 26, 2019","1.630","1.670","1.670","1.590","7.39M","-3.55%"
"Feb 25, 2019","1.690","1.840","1.840","1.690","7.43M","-7.14%"
"Feb 22, 2019","1.820","1.850","1.870","1.790","3.04M","-2.15%"
"Feb 21, 2019","1.860","1.880","1.910","1.840","4.11M","-0.53%"
"Feb 20, 2019","1.870","1.860","1.900","1.840","4.31M","1.63%"
"Feb 19, 2019","1.840","1.820","1.880","1.810","7.03M","0.55%"
"Feb 18, 2019","1.830","1.750","1.860","1.750","10.36M","5.78%"
