Date,Price,Open,High,Low,Vol.,Change %
26-Apr-19,0.6,0.605,0.61,0.59,6.10M,-1.64%
25-Apr-19,0.61,0.62,0.63,0.605,3.38M,-1.61%
24-Apr-19,0.62,0.62,0.63,0.61,4.03M,0.81%
23-Apr-19,0.615,0.615,0.625,0.595,7.61M,-3.15%
22-Apr-19,0.635,0.595,0.665,0.595,23.38M,9.48%
19-Apr-19,0.58,0.565,0.595,0.565,6.09M,3.57%
18-Apr-19,0.56,0.55,0.565,0.545,5.12M,0.90%
17-Apr-19,0.555,0.585,0.585,0.55,5.64M,-4.31%
16-Apr-19,0.58,0.585,0.59,0.57,4.55M,-0.85%
15-Apr-19,0.585,0.63,0.635,0.58,6.09M,-6.40%
12-Apr-19,0.625,0.62,0.645,0.61,11.08M,1.63%
11-Apr-19,0.615,0.64,0.645,0.605,9.94M,-3.15%
10-Apr-19,0.635,0.59,0.655,0.585,32.03M,6.72%
9-Apr-19,0.595,0.575,0.605,0.57,22.51M,4.39%
8-Apr-19,0.57,0.55,0.575,0.55,10.35M,4.59%
5-Apr-19,0.545,0.56,0.56,0.54,3.52M,-2.68%
4-Apr-19,0.56,0.54,0.56,0.535,6.95M,4.67%
3-Apr-19,0.535,0.53,0.545,0.53,3.10M,0.00%
2-Apr-19,0.535,0.54,0.54,0.525,3.13M,0.00%
1-Apr-19,0.535,0.54,0.55,0.53,4.42M,-0.93%
29-Mar-19,0.54,0.525,0.545,0.525,3.76M,2.86%
28-Mar-19,0.525,0.525,0.53,0.52,1.18M,0.00%
27-Mar-19,0.525,0.525,0.54,0.52,5.51M,0.00%
26-Mar-19,0.525,0.515,0.525,0.515,2.38M,1.94%
25-Mar-19,0.515,0.52,0.52,0.51,3.06M,-1.90%
22-Mar-19,0.525,0.53,0.53,0.52,1.53M,-0.94%
21-Mar-19,0.53,0.53,0.545,0.525,3.66M,0.00%
20-Mar-19,0.53,0.525,0.535,0.52,2.65M,0.95%
19-Mar-19,0.525,0.545,0.545,0.52,6.02M,-3.67%
18-Mar-19,0.545,0.55,0.56,0.54,6.40M,0.00%
15-Mar-19,0.545,0.55,0.555,0.54,4.96M,-0.91%
14-Mar-19,0.55,0.545,0.565,0.545,5.45M,0.00%
13-Mar-19,0.55,0.565,0.565,0.54,5.76M,-2.65%
12-Mar-19,0.565,0.575,0.575,0.555,4.66M,0.00%
11-Mar-19,0.565,0.585,0.6,0.56,17.15M,0.89%
8-Mar-19,0.56,0.565,0.575,0.555,8.67M,-0.88%
7-Mar-19,0.565,0.525,0.585,0.52,35.17M,8.65%
6-Mar-19,0.52,0.515,0.525,0.51,5.05M,0.97%
5-Mar-19,0.515,0.51,0.515,0.505,3.18M,0.00%
4-Mar-19,0.515,0.515,0.525,0.5,4.37M,0.00%
1-Mar-19,0.515,0.5,0.515,0.495,3.79M,1.98%
28-Feb-19,0.505,0.505,0.51,0.495,5.55M,-7.34%
27-Feb-19,0.545,0.545,0.545,0.53,4.22M,0.00%
26-Feb-19,0.545,0.575,0.575,0.545,3.60M,-5.22%
25-Feb-19,0.575,0.575,0.59,0.565,7.15M,1.77%
22-Feb-19,0.565,0.575,0.575,0.555,5.53M,-2.59%
21-Feb-19,0.58,0.55,0.59,0.54,13.77M,5.45%
20-Feb-19,0.55,0.54,0.555,0.54,4.18M,2.80%
19-Feb-19,0.535,0.545,0.545,0.53,6.93M,-5.31%
18-Feb-19,0.565,0.57,0.575,0.55,3.15M,0.89%
15-Feb-19,0.56,0.57,0.59,0.56,6.62M,-1.75%
14-Feb-19,0.57,0.575,0.575,0.56,2.90M,-0.87%
13-Feb-19,0.575,0.585,0.59,0.565,7.55M,-1.71%
12-Feb-19,0.585,0.545,0.59,0.54,15.96M,9.35%
11-Feb-19,0.535,0.535,0.545,0.525,2.11M,0.94%
8-Feb-19,0.53,0.53,0.55,0.525,2.49M,-0.93%
7-Feb-19,0.535,0.52,0.535,0.515,2.44M,4.90%
4-Feb-19,0.51,0.515,0.52,0.51,1.22M,-1.92%
31-Jan-19,0.52,0.52,0.525,0.515,1.44M,1.96%
30-Jan-19,0.51,0.52,0.525,0.505,1.95M,-1.92%
29-Jan-19,0.52,0.535,0.535,0.515,1.64M,-1.89%
28-Jan-19,0.53,0.555,0.555,0.53,1.57M,-4.50%
25-Jan-19,0.555,0.55,0.56,0.545,2.61M,1.83%
24-Jan-19,0.545,0.56,0.57,0.54,2.72M,-0.91%
23-Jan-19,0.55,0.56,0.57,0.535,2.76M,-1.79%
22-Jan-19,0.56,0.595,0.595,0.555,3.65M,-5.88%
18-Jan-19,0.595,0.59,0.6,0.585,1.18M,1.71%
17-Jan-19,0.585,0.6,0.605,0.585,2.20M,-1.68%
16-Jan-19,0.595,0.6,0.61,0.59,3.61M,0.00%
15-Jan-19,0.595,0.575,0.6,0.575,3.30M,2.59%
14-Jan-19,0.58,0.6,0.605,0.575,1.37M,-3.33%
11-Jan-19,0.6,0.58,0.61,0.58,2.86M,3.45%
10-Jan-19,0.58,0.595,0.61,0.575,6.00M,-1.69%
9-Jan-19,0.59,0.555,0.595,0.55,4.98M,8.26%
8-Jan-19,0.545,0.56,0.575,0.545,2.28M,-2.68%
7-Jan-19,0.56,0.54,0.58,0.535,8.65M,6.67%
4-Jan-19,0.525,0.47,0.545,0.47,9.91M,9.37%
3-Jan-19,0.48,0.48,0.49,0.47,766.40K,0.00%
2-Jan-19,0.48,0.505,0.505,0.48,1.08M,-4.00%
31-Dec-18,0.5,0.5,0.51,0.495,1.46M,0.00%
28-Dec-18,0.5,0.5,0.51,0.495,1.15M,1.01%
27-Dec-18,0.495,0.52,0.525,0.495,2.35M,-2.94%
26-Dec-18,0.51,0.505,0.51,0.495,1.25M,-1.92%
24-Dec-18,0.52,0.515,0.54,0.51,1.63M,0.00%
21-Dec-18,0.52,0.49,0.525,0.485,2.89M,5.05%
20-Dec-18,0.495,0.485,0.52,0.485,2.40M,-1.00%
