"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 26, 2019","0.545","0.550","0.555","0.535","2.99M","-0.91%"
"Apr 25, 2019","0.550","0.565","0.565","0.545","2.68M","-1.79%"
"Apr 24, 2019","0.560","0.565","0.575","0.550","3.46M","-0.88%"
"Apr 23, 2019","0.565","0.560","0.570","0.550","3.03M","-3.42%"
"Apr 22, 2019","0.585","0.540","0.590","0.540","16.42M","11.43%"
"Apr 19, 2019","0.525","0.515","0.530","0.515","4.99M","2.94%"
"Apr 18, 2019","0.510","0.495","0.510","0.485","5.97M","0.99%"
"Apr 17, 2019","0.505","0.515","0.520","0.490","3.53M","-3.81%"
"Apr 16, 2019","0.525","0.530","0.530","0.510","4.49M","-0.94%"
"Apr 15, 2019","0.530","0.560","0.565","0.530","3.78M","-4.50%"
"Apr 12, 2019","0.555","0.550","0.575","0.550","9.21M","0.91%"
"Apr 11, 2019","0.550","0.575","0.575","0.530","6.32M","-3.51%"
"Apr 10, 2019","0.570","0.550","0.580","0.540","21.81M","3.64%"
"Apr 09, 2019","0.550","0.525","0.560","0.520","17.22M","4.76%"
"Apr 08, 2019","0.525","0.510","0.530","0.510","6.15M","3.96%"
"Apr 05, 2019","0.505","0.510","0.515","0.500","2.54M","-0.98%"
"Apr 04, 2019","0.510","0.495","0.515","0.485","6.40M","4.08%"
"Apr 03, 2019","0.490","0.485","0.500","0.485","2.07M","1.03%"
"Apr 02, 2019","0.485","0.490","0.490","0.480","1.02M","-1.02%"
"Apr 01, 2019","0.490","0.490","0.495","0.475","2.81M","1.03%"
"Mar 29, 2019","0.485","0.475","0.495","0.470","3.25M","2.11%"
"Mar 28, 2019","0.475","0.475","0.475","0.470","580.10K","-1.04%"
"Mar 27, 2019","0.480","0.470","0.485","0.460","1.91M","3.23%"
"Mar 26, 2019","0.465","0.460","0.470","0.460","782.50K","1.09%"
"Mar 25, 2019","0.460","0.460","0.470","0.460","562.20K","-1.08%"
"Mar 22, 2019","0.465","0.475","0.480","0.465","1.21M","-2.11%"
"Mar 21, 2019","0.475","0.480","0.490","0.470","1.81M","-1.04%"
"Mar 20, 2019","0.480","0.460","0.480","0.455","2.02M","4.35%"
"Mar 19, 2019","0.460","0.480","0.480","0.455","1.64M","-3.16%"
"Mar 18, 2019","0.475","0.490","0.500","0.475","3.25M","-2.06%"
"Mar 15, 2019","0.485","0.495","0.495","0.480","2.41M","-1.02%"
"Mar 14, 2019","0.490","0.485","0.505","0.485","3.65M","0.00%"
"Mar 13, 2019","0.490","0.510","0.510","0.480","3.99M","-3.92%"
"Mar 12, 2019","0.510","0.525","0.525","0.500","3.75M","-0.97%"
"Mar 11, 2019","0.515","0.520","0.540","0.510","14.81M","4.04%"
"Mar 08, 2019","0.495","0.470","0.500","0.465","5.35M","5.32%"
"Mar 07, 2019","0.470","0.450","0.490","0.450","8.10M","4.44%"
"Mar 06, 2019","0.450","0.435","0.455","0.430","2.31M","2.27%"
"Mar 05, 2019","0.440","0.430","0.440","0.430","1.01M","0.00%"
"Mar 04, 2019","0.440","0.440","0.445","0.430","1.04M","0.00%"
"Mar 01, 2019","0.440","0.415","0.445","0.400","3.21M","3.53%"
"Feb 28, 2019","0.425","0.445","0.445","0.425","1.55M","-5.56%"
"Feb 27, 2019","0.450","0.465","0.465","0.450","2.12M","-3.23%"
"Feb 26, 2019","0.465","0.495","0.495","0.465","1.41M","-5.10%"
"Feb 25, 2019","0.490","0.490","0.500","0.485","2.48M","1.03%"
"Feb 22, 2019","0.485","0.495","0.495","0.480","1.90M","-2.02%"
"Feb 21, 2019","0.495","0.480","0.505","0.480","7.35M","3.13%"
"Feb 20, 2019","0.480","0.470","0.485","0.470","1.49M","2.13%"
"Feb 19, 2019","0.470","0.490","0.490","0.470","5.42M","-6.93%"
"Feb 18, 2019","0.505","0.510","0.510","0.500","1.29M","-0.98%"
"Feb 15, 2019","0.510","0.510","0.520","0.500","2.45M","0.00%"
"Feb 14, 2019","0.510","0.500","0.510","0.490","2.46M","0.99%"
"Feb 13, 2019","0.505","0.520","0.520","0.500","2.93M","-0.98%"
"Feb 12, 2019","0.510","0.475","0.515","0.475","7.79M","8.51%"
"Feb 11, 2019","0.470","0.465","0.475","0.460","1.30M","1.08%"
"Feb 08, 2019","0.465","0.465","0.470","0.455","945.90K","0.00%"
"Feb 07, 2019","0.465","0.440","0.465","0.435","1.51M","6.90%"
"Feb 04, 2019","0.435","0.435","0.435","0.430","202.20K","-1.14%"
"Jan 31, 2019","0.440","0.435","0.450","0.435","1.61M","2.33%"
"Jan 30, 2019","0.430","0.425","0.430","0.420","596.80K","1.18%"
"Jan 29, 2019","0.425","0.435","0.435","0.420","699.10K","-2.30%"
"Jan 28, 2019","0.435","0.450","0.455","0.430","1.18M","-4.40%"
"Jan 25, 2019","0.455","0.455","0.470","0.450","1.71M","0.00%"
"Jan 24, 2019","0.455","0.455","0.465","0.450","804.40K","0.00%"
"Jan 23, 2019","0.455","0.460","0.460","0.445","742.60K","-1.09%"
"Jan 22, 2019","0.460","0.475","0.480","0.450","1.39M","-3.16%"
"Jan 18, 2019","0.475","0.465","0.485","0.465","1.73M","2.15%"
"Jan 17, 2019","0.465","0.470","0.475","0.460","703.30K","-1.06%"
"Jan 16, 2019","0.470","0.475","0.485","0.465","2.70M","0.00%"
"Jan 15, 2019","0.470","0.455","0.475","0.455","832.90K","3.30%"
"Jan 14, 2019","0.455","0.475","0.485","0.455","1.60M","-5.21%"
"Jan 11, 2019","0.480","0.470","0.485","0.470","1.41M","3.23%"
"Jan 10, 2019","0.465","0.480","0.490","0.465","4.47M","-3.12%"
"Jan 09, 2019","0.480","0.455","0.485","0.450","4.70M","5.49%"
"Jan 08, 2019","0.455","0.460","0.465","0.440","1.90M","-1.09%"
"Jan 07, 2019","0.460","0.445","0.480","0.445","7.46M","6.98%"
"Jan 04, 2019","0.430","0.380","0.440","0.380","5.69M","14.67%"
"Jan 03, 2019","0.375","0.370","0.380","0.370","523.50K","1.35%"
"Jan 02, 2019","0.370","0.385","0.385","0.370","674.40K","-3.90%"
"Dec 31, 2018","0.385","0.385","0.395","0.385","940.90K","0.00%"
"Dec 28, 2018","0.385","0.380","0.390","0.380","659.70K","1.32%"
"Dec 27, 2018","0.380","0.385","0.390","0.380","1.15M","1.33%"
"Dec 26, 2018","0.375","0.380","0.380","0.365","367.70K","-2.60%"
"Dec 24, 2018","0.385","0.380","0.390","0.380","1.21M","0.00%"
