"Date","Price","Open","High","Low","Vol.","Change %"
"May 17, 2019","0.315","0.320","0.320","0.310","29.99M","0.00%"
"May 16, 2019","0.315","0.315","0.315","0.310","27.38M","1.61%"
"May 15, 2019","0.310","0.315","0.320","0.310","50.76M","-1.59%"
"May 14, 2019","0.315","0.300","0.315","0.300","39.39M","1.61%"
"May 13, 2019","0.310","0.315","0.320","0.305","63.53M","-1.59%"
"May 10, 2019","0.315","0.320","0.325","0.315","67.14M","-1.56%"
"May 09, 2019","0.320","0.325","0.325","0.315","30.47M","-1.54%"
"May 08, 2019","0.325","0.320","0.325","0.315","34.77M","0.00%"
"May 07, 2019","0.325","0.325","0.330","0.320","33.25M","1.56%"
"May 06, 2019","0.320","0.330","0.330","0.320","76.07M","-4.48%"
"May 03, 2019","0.335","0.325","0.335","0.325","35.50M","0.00%"
"May 02, 2019","0.335","0.330","0.335","0.325","79.08M","3.08%"
"Apr 30, 2019","0.325","0.330","0.335","0.325","47.95M","-1.52%"
"Apr 29, 2019","0.330","0.330","0.330","0.325","54.84M","-1.49%"
"Apr 26, 2019","0.335","0.340","0.340","0.330","39.26M","-1.47%"
"Apr 25, 2019","0.340","0.335","0.345","0.330","117.00M","1.49%"
"Apr 24, 2019","0.335","0.325","0.340","0.325","119.90M","1.52%"
"Apr 23, 2019","0.330","0.325","0.330","0.320","85.11M","1.54%"
"Apr 22, 2019","0.325","0.315","0.325","0.310","132.96M","4.84%"
"Apr 19, 2019","0.310","0.315","0.320","0.310","116.52M","-1.59%"
"Apr 18, 2019","0.315","0.320","0.325","0.305","200.83M","-3.08%"
"Apr 17, 2019","0.325","0.330","0.330","0.315","189.77M","-1.52%"
"Apr 16, 2019","0.330","0.335","0.340","0.325","81.77M","-1.49%"
"Apr 15, 2019","0.335","0.345","0.345","0.335","118.94M","-2.90%"
"Apr 12, 2019","0.345","0.335","0.350","0.330","312.94M","2.99%"
"Apr 11, 2019","0.335","0.335","0.340","0.330","94.22M","-1.47%"
"Apr 10, 2019","0.340","0.340","0.345","0.335","111.64M","0.00%"
"Apr 09, 2019","0.340","0.355","0.360","0.335","249.82M","-2.86%"
"Apr 08, 2019","0.350","0.360","0.370","0.345","328.18M","-1.41%"
"Apr 05, 2019","0.355","0.355","0.360","0.350","87.15M","1.43%"
"Apr 04, 2019","0.350","0.355","0.360","0.350","67.98M","-1.41%"
"Apr 03, 2019","0.355","0.355","0.360","0.350","94.95M","0.00%"
"Apr 02, 2019","0.355","0.350","0.360","0.345","168.02M","2.90%"
"Apr 01, 2019","0.345","0.335","0.345","0.330","92.14M","2.99%"
"Mar 29, 2019","0.335","0.335","0.340","0.330","103.48M","0.00%"
"Mar 28, 2019","0.335","0.330","0.335","0.320","104.17M","1.52%"
"Mar 27, 2019","0.330","0.335","0.340","0.330","65.23M","-1.49%"
"Mar 26, 2019","0.335","0.345","0.350","0.330","175.18M","-2.90%"
"Mar 25, 2019","0.345","0.340","0.360","0.335","357.87M","0.00%"
"Mar 22, 2019","0.345","0.350","0.350","0.340","50.66M","-1.43%"
"Mar 21, 2019","0.350","0.350","0.355","0.340","166.22M","2.94%"
"Mar 20, 2019","0.340","0.340","0.350","0.340","161.60M","-1.45%"
"Mar 19, 2019","0.345","0.360","0.360","0.340","258.96M","-4.17%"
"Mar 18, 2019","0.360","0.370","0.375","0.355","225.97M","-1.37%"
"Mar 15, 2019","0.365","0.350","0.375","0.345","616.65M","4.29%"
"Mar 14, 2019","0.350","0.345","0.350","0.335","222.51M","2.94%"
"Mar 13, 2019","0.340","0.330","0.350","0.325","370.10M","4.62%"
"Mar 12, 2019","0.325","0.320","0.330","0.315","233.41M","3.17%"
"Mar 11, 2019","0.315","0.315","0.325","0.310","85.86M","1.61%"
"Mar 08, 2019","0.310","0.315","0.320","0.310","89.40M","-1.59%"
"Mar 07, 2019","0.315","0.320","0.325","0.315","64.86M","-1.56%"
"Mar 06, 2019","0.320","0.315","0.330","0.315","201.64M","1.59%"
"Mar 05, 2019","0.315","0.320","0.325","0.315","59.18M","-1.56%"
"Mar 04, 2019","0.320","0.315","0.325","0.310","133.09M","1.59%"
"Mar 01, 2019","0.315","0.315","0.320","0.310","122.00M","1.61%"
"Feb 28, 2019","0.310","0.315","0.315","0.305","139.59M","0.00%"
"Feb 27, 2019","0.310","0.310","0.315","0.310","52.82M","1.64%"
"Feb 26, 2019","0.305","0.320","0.325","0.305","146.41M","-4.69%"
"Feb 25, 2019","0.320","0.325","0.330","0.315","123.34M","1.59%"
"Feb 22, 2019","0.315","0.325","0.330","0.310","139.25M","-3.08%"
"Feb 21, 2019","0.325","0.330","0.335","0.320","279.55M","0.00%"
"Feb 20, 2019","0.325","0.310","0.335","0.305","561.33M","4.84%"
"Feb 19, 2019","0.310","0.310","0.315","0.305","184.42M","1.64%"
"Feb 18, 2019","0.305","0.310","0.320","0.305","216.70M","0.00%"
"Feb 15, 2019","0.305","0.305","0.320","0.300","314.02M","0.00%"
"Feb 14, 2019","0.305","0.275","0.310","0.275","612.48M","10.91%"
"Feb 13, 2019","0.275","0.280","0.280","0.275","28.68M","-1.79%"
